g,h
6.351791,8.575685
93.5694,81.63894
-16.5517,-55.99857
105.9485,112.526
-11.98608,-10.17962
-2.525415,.5563177
12.83391,47.3198
-7.797009,-39.00016
-6.092632,-15.25943
-.9026601,6.259342
2.426642,-6.466017
-21.4189,-1.170205
-1.89925,9.187573
-2.639731,-18.38926
20.77694,-6.166471
7.851613,-3.483532
-12.84604,3.741967
11.66358,-.9595353
9.273984,2.675991
-23.11595,-5.93798
27.21033,11.38102
-14.65587,2.51196
-7.120264,5.404263
21.68998,.3171098
5.269949,1.013622
1.110693,-2.816989
-8.795136,-13.56591
-10.08598,-13.8394
-7.28948,14.92095
10.22898,10.31125
-1.456155,9.631899
-7.439673,-6.562929
-7.007405,5.206677
-5.757628,3.811163
-8.707193,7.634685
13.90359,1.916494
3.428138,5.30414
.4365392,-15.11021
1.21579,1.1768
5.108088,-3.120025
-10.18902,-4.94357
4.620642,7.665698
3.135206,-.7677031
-3.095601,-6.401671
25.3414,12.69813
-6.374238,-1.647194
15.91177,-8.094212
-46.31733,10.63843
50.38723,4.749612
1.531288,-6.476333
-2.649057,1.184285
-33.29501,1.516883
7.011387,26.92464
15.56979,-12.30437
14.68181,9.861501
-55.27744,-14.89158
23.22186,-15.1959
-7.862988,1.551766
-104.5861,22.20977
15.24217,14.81259
8.831086,24.79072
-4.917225,-22.39044
-2.864552,-5.613547
-3.513131,-12.07924
-2.85207,31.8553
-4.456457,-18.0573
-.4509729,-11.54623
-4.415772,-3.983556
1.843401,9.281655
30.59173,-17.0584
-22.28663,6.366659
2.566231,-11.35597
-5.261067,21.43189
-1.999711,4.906682
5.957797,-21.92131
-.6570412,4.598529
-117.2323,28.26911
65.31078,6.341109
-4.955346,10.38571
6.111169,8.446628
-28.50694,-6.498835
-62.29628,-35.68118
105.44,22.73249
6.959743,23.72625
13.67514,-46.6763
-36.40025,20.59794
9.234982,-1.058857
.377415,12.70457
.2715436,2.514001
11.00023,2.853167
36.84205,5.657938
-40.64834,-1.808163
-4.321263,3.779949
-4.51297,-5.007573
9.262351,13.34381
40.12619,-9.598861
-49.48138,.9594353
12.39277,-23.23067
-4.924609,9.649902
9.088239,2.099286
-.5615969,-9.244451
2.2378,.2356181
5.825614,-7.152433
2.930945,22.45991
4.677722,-13.37119
.8291604,2.102362
-7.977081,6.22167
52.91149,-19.47222
17.939,17.54435
-87.27802,-28.95219
.1331034,33.64439
4.431046,-26.81637
11.01469,39.09212
-2.99308,17.93164
-47.14481,-42.68608
-39.20867,38.37888
11.54388,-16.09137
26.77888,3.209067
-26.07256,6.880799
15.85019,-23.76347
-2.732208,-6.048374
16.4575,5.253451
-13.05393,-2.972157
-8.365003,7.973364
8.383878,-8.952135
19.74333,16.28673
-8.057451,5.337009
-13.29881,-13.05805
-6.043865,-1.63499
-8.466432,-13.10452
-6.835076,5.120056
10.44817,-4.665038
9.403669,6.572414
4.41723,16.94789
-9.107904,-20.25593
-14.78308,13.38866
-5.726138,-6.096907
8.170754,10.52739
-3.494815,-7.137492
19.20871,14.57501
.8897159,-10.25934
-20.21101,1.123479
7.599824,8.387897
9.108009,-1.510784
-1.638146,4.985285
-6.845875,1.138526
-21.93738,-14.8047
-7.955522,-10.56124
7.418102,4.448193
-29.66685,22.3069
16.54262,-7.510947
6.386058,13.67184
17.60051,-9.578449
-7.091664,-1.063754
17.08407,-69.23399
-2.728283,18.33843
-50.56763,-35.48383
49.41726,24.59425
-8.475197,20.72668
16.38555,-2.151102
11.07507,12.96546
8.389054,-27.20667
-36.24514,-4.295119
-206.5357,-118.012
144.5254,57.80186
